id_producto,nombre,precio,stock,categoria,calificacion,descuento_porcentaje
1,Muneca_767,348.7,326,Juguetes,2.9,5
2,Carro RC_240,1658.81,15,Juguetes,2.0,0
3,Mesa_980,2277.67,287,Hogar,5.0,0
4,Tablet_680,773.24,71,Electronica,4.7,15
5,Raqueta_884,1034.57,356,Deportes,2.5,20
6,Carro RC_999,921.51,343,Juguetes,1.6,20
7,Laptop_767,2041.4,323,Electronica,3.9,0
8,Comic_392,1615.91,210,Libros,4.2,5
9,Comic_421,1202.2,306,Libros,2.4,20
10,Carro RC_277,1746.3,120,Juguetes,3.9,50
11,Lampara_130,2076.49,9,Hogar,4.1,0
12,Bicicleta_614,2238.74,325,Deportes,2.4,10
13,Camisa_973,200.65,456,Ropa,4.1,50
14,Balon_225,861.83,372,Deportes,4.1,5
15,Pantalon_199,1979.25,364,Ropa,4.2,0
16,Silla_928,1863.15,317,Hogar,4.7,15
17,Poesia_255,612.07,391,Libros,2.5,0
18,Pantalon_807,431.91,309,Ropa,4.9,15
19,Silla_312,922.03,233,Hogar,2.1,10
20,Peluche_450,1313.92,59,Juguetes,2.0,0
21,Carro RC_444,623.14,304,Juguetes,1.7,15
22,Raqueta_729,254.25,269,Deportes,1.1,50
23,Mesa_108,1807.36,222,Hogar,3.6,20
24,Pantalon_894,645.6,142,Ropa,4.1,0
25,Diccionario_524,2131.96,275,Libros,4.3,20
26,Laptop_629,273.74,40,Electronica,1.4,50
27,Tenis_616,1959.3,116,Deportes,1.4,15
28,Audifonos_931,2475.13,298,Electronica,2.4,15
29,Mesa_695,2481.0,114,Hogar,4.7,10
30,Tenis_601,797.93,190,Deportes,3.3,20
31,Lampara_753,1316.8,439,Hogar,3.3,15
32,Sofa_666,1172.23,346,Hogar,2.4,50
33,Camisa_758,1020.06,130,Ropa,3.4,5
34,Raqueta_378,1219.51,125,Deportes,3.0,0
35,Puzzle_120,437.3,207,Juguetes,1.3,15
36,Enciclopedia_332,467.53,390,Libros,3.3,15
37,Enciclopedia_997,2202.86,134,Libros,3.5,10
38,Muneca_991,1982.82,397,Juguetes,3.6,20
39,Chaqueta_522,328.06,83,Ropa,4.9,20
40,Lampara_789,1890.76,17,Hogar,3.2,0
41,Muneca_540,2399.9,19,Juguetes,4.2,15
42,Carro RC_467,997.68,292,Juguetes,3.2,5
43,Lego_254,973.86,131,Juguetes,3.8,5
44,Diccionario_716,266.5,385,Libros,2.8,5
45,Balon_629,597.76,18,Deportes,2.2,5
46,Muneca_628,645.04,95,Juguetes,4.6,20
47,Laptop_628,2065.96,402,Electronica,3.6,50
48,Gorra_537,2490.05,103,Ropa,4.1,0
49,Pantalon_255,1270.95,47,Ropa,2.0,0
50,Diccionario_317,911.55,105,Libros,2.5,0
51,Bicicleta_918,1791.84,140,Deportes,3.2,50
52,Lego_765,2097.39,209,Juguetes,1.1,5
53,Celular_636,1151.2,260,Electronica,4.6,0
54,Tablet_115,2041.46,148,Electronica,1.0,50
55,Pesas_824,2306.37,432,Deportes,1.4,10
56,Enciclopedia_499,974.47,328,Libros,1.7,50
57,Balon_870,1999.31,288,Deportes,4.3,20
58,Licuadora_655,79.22,71,Hogar,4.3,5
59,Chaqueta_818,1515.03,261,Ropa,3.1,5
60,Balon_770,2091.98,422,Deportes,4.8,50
61,Puzzle_675,1967.82,328,Juguetes,3.7,10
62,Pantalon_242,2323.05,380,Ropa,4.8,0
63,Lego_751,2380.79,75,Juguetes,2.6,10
64,Balon_221,135.9,246,Deportes,4.4,10
65,Balon_611,1020.37,109,Deportes,3.1,0
66,Celular_571,1428.7,393,Electronica,1.9,10
67,Balon_578,393.02,257,Deportes,1.2,15
68,Pantalon_519,1194.38,275,Ropa,4.7,10
69,Silla_970,156.16,97,Hogar,3.7,10
70,Camisa_758,1410.15,202,Ropa,3.2,5
71,Silla_495,818.52,421,Hogar,4.6,20
72,Audifonos_754,1634.39,297,Electronica,1.8,50
73,Tenis_913,1511.91,401,Deportes,3.1,5
74,Calcetines_397,519.41,60,Ropa,1.3,0
75,Pantalon_115,850.91,264,Ropa,4.3,0
76,Calcetines_323,1053.77,68,Ropa,3.6,0
77,Monitor_722,2370.49,424,Electronica,1.8,10
78,Pantalon_968,1801.45,132,Ropa,3.1,50
79,Laptop_388,1130.43,315,Electronica,2.6,0
80,Pesas_665,586.74,200,Deportes,3.1,5
81,Sofa_967,1926.51,198,Hogar,1.6,5
82,Mesa_753,2325.45,93,Hogar,3.9,0
83,Bicicleta_336,2128.32,450,Deportes,3.0,5
84,Balon_816,2401.13,301,Deportes,4.2,20
85,Diccionario_442,1685.66,308,Libros,3.2,15
86,Pantalon_991,2224.96,204,Ropa,2.3,50
87,Laptop_997,1488.38,284,Electronica,3.5,5
88,Poesia_253,1222.3,400,Libros,4.7,10
89,Pesas_884,1445.22,388,Deportes,1.8,10
90,Chaqueta_922,993.18,319,Ropa,4.8,5
91,Tenis_798,880.43,256,Deportes,4.8,50
92,Tenis_672,1700.03,404,Deportes,3.5,10
93,Audifonos_326,1351.51,330,Electronica,1.2,50
94,Sofa_263,939.98,142,Hogar,1.2,15
95,Muneca_367,845.04,46,Juguetes,2.1,50
96,Calcetines_698,2131.44,1,Ropa,2.2,20
97,Pesas_226,1809.44,68,Deportes,2.4,20
98,Bicicleta_218,434.68,291,Deportes,2.3,10
99,Pantalon_800,317.36,143,Ropa,1.3,0
100,Pesas_970,1123.14,343,Deportes,1.1,10
101,Poesia_197,273.37,71,Libros,3.5,10
102,Laptop_443,765.8,345,Electronica,2.2,20
103,Camisa_355,52.83,259,Ropa,2.3,0
104,Raqueta_837,668.49,114,Deportes,4.5,50
105,Licuadora_901,723.54,344,Hogar,1.1,15
106,Silla_938,858.71,230,Hogar,3.8,20
107,Raqueta_611,1263.6,495,Deportes,4.5,20
108,Mesa_871,2229.78,201,Hogar,2.8,5
109,Laptop_494,1360.99,111,Electronica,4.0,0
110,Licuadora_818,50.16,208,Hogar,3.1,10
111,Monitor_907,1843.04,135,Electronica,2.5,50
112,Pantalon_663,944.36,374,Ropa,2.1,10
113,Celular_753,1822.59,67,Electronica,3.1,10
114,Monitor_381,1273.2,197,Electronica,3.0,50
115,Novela_491,2020.13,334,Libros,2.5,50
